dataset,instance,score,gap_to_reference_best_percent
chao,p5.2.p.txt,1000.0,0.0
chao,p5.2.q.txt,1060.0,0.0
chao,p5.2.q.txt,1060.0,0.0
chao,p5.2.r.txt,1060.0,0.0
chao,p5.2.r.txt,1060.0,0.0
chao,p5.2.s.txt,1060.0,0.0
chao,p5.2.s.txt,1060.0,0.0
chao,p5.2.t.txt,1060.0,0.0
chao,p5.2.t.txt,1060.0,0.0
chao,p5.2.u.txt,1060.0,0.0
chao,p5.2.u.txt,1060.0,0.0
chao,p5.2.v.txt,1060.0,0.0
chao,p5.2.v.txt,1060.0,0.0
chao,p5.2.w.txt,1060.0,0.0
chao,p5.2.w.txt,1060.0,0.0
chao,p5.2.x.txt,1060.0,0.0
chao,p5.2.x.txt,1060.0,0.0
chao,p5.2.y.txt,1060.0,0.0
chao,p5.2.y.txt,1060.0,0.0
chao,p5.2.z.txt,1060.0,0.0
chao,p5.2.z.txt,1060.0,0.0
chao,p5.3.a.txt,0.0,0.0
chao,p5.3.a.txt,0.0,0.0
chao,p5.3.b.txt,15.0,0.0
chao,p5.3.b.txt,15.0,0.0
chao,p5.3.c.txt,20.0,0.0
chao,p5.3.c.txt,20.0,0.0
chao,p5.3.d.txt,60.0,0.0
chao,p5.3.d.txt,60.0,0.0
chao,p5.3.e.txt,85.0,0.0
chao,p5.3.e.txt,85.0,0.0
chao,p5.3.f.txt,110.0,0.0
chao,p5.3.f.txt,110.0,0.0
chao,p5.3.g.txt,160.0,0.0
chao,p5.3.g.txt,160.0,0.0
chao,p5.3.h.txt,260.0,0.0
chao,p5.3.h.txt,260.0,0.0
chao,p5.3.i.txt,255.0,0.0
chao,p5.3.i.txt,255.0,0.0
chao,p5.3.j.txt,380.0,0.0
chao,p5.3.j.txt,380.0,0.0
chao,p5.3.k.txt,465.0,0.0
chao,p5.3.k.txt,465.0,0.0
chao,p5.3.l.txt,575.0,0.0
chao,p5.3.l.txt,575.0,0.0
chao,p5.3.m.txt,650.0,0.0
chao,p5.3.m.txt,650.0,0.0
chao,p5.3.n.txt,755.0,0.0
chao,p5.3.n.txt,755.0,0.0
chao,p5.3.o.txt,830.0,0.0
chao,p5.3.o.txt,830.0,0.0
chao,p5.3.p.txt,850.0,0.5847953216374269
chao,p5.3.p.txt,855.0,0.0
chao,p5.3.q.txt,1025.0,0.0
chao,p5.3.q.txt,1025.0,0.0
chao,p5.3.r.txt,1050.0,0.0
chao,p5.3.r.txt,1050.0,0.0
chao,p5.3.s.txt,1145.0,0.0
chao,p5.3.s.txt,1145.0,0.0
chao,p5.3.t.txt,1220.0,0.0
chao,p5.3.t.txt,1220.0,0.0
chao,p5.3.u.txt,1300.0,0.0
chao,p5.3.u.txt,1300.0,0.0
chao,p5.3.v.txt,1400.0,0.0
chao,p5.3.v.txt,1400.0,0.0
chao,p5.3.w.txt,1420.0,0.0
chao,p5.3.w.txt,1410.0,0.7042253521126761
chao,p5.3.x.txt,1500.0,0.0
chao,p5.3.x.txt,1500.0,0.0
chao,p5.3.y.txt,1570.0,0.0
chao,p5.3.y.txt,1570.0,0.0
chao,p5.3.z.txt,1570.0,0.0
chao,p5.3.z.txt,1570.0,0.0
chao,p5.4.a.txt,0.0,0.0
chao,p5.4.a.txt,0.0,0.0
chao,p5.4.b.txt,0.0,0.0
chao,p5.4.b.txt,0.0,0.0
chao,p5.4.c.txt,20.0,0.0
chao,p5.4.c.txt,20.0,0.0
