dataset,num_instances,num_runs,mean_cpu_time_seconds,median_cpu_time_seconds,p90_cpu_time_seconds,mean_iterations_to_convergence,mean_gap_to_reference_best_percent,median_gap_to_reference_best_percent,p90_gap_to_reference_best_percent,success_rate_percent,score_mean,score_std,score_p10,score_p50,score_p90,mean_lp_solves,mean_labels_generated
chao,240,480,6.420401611250175,4.972334550053347,16.921004900010303,12.414583333333333,0.047135654436268284,0.0,0.0,98.125,442.85833333333335,372.4998952422172,0.0,400.0,1060.0,12.414583333333333,1541651.9541666666
dang,82,164,36.42605834207412,26.048634849954396,66.08891110005789,12.548780487804878,0.0,0.0,0.0,100.0,791.5487804878048,552.5722594379347,22.0,732.0,1488.0,12.548780487804878,9131452.134146342
vansteenwegen,67,134,21.447205558957,15.060566500003915,53.683301700046286,14.014925373134329,0.0,0.0,0.0,100.0,818.6865671641791,536.07866690574,24.0,732.0,1488.0,14.014925373134329,9382512.223880596
