dataset,num_instances,num_runs,mean_cpu_time_seconds,median_cpu_time_seconds,p90_cpu_time_seconds,mean_iterations_to_convergence,mean_gap_to_reference_best_percent,median_gap_to_reference_best_percent,p90_gap_to_reference_best_percent,success_rate_percent,score_mean,score_std,score_p10,score_p50,score_p90,mean_lp_solves,mean_labels_generated
chao,240,240,1.0606458787499529,0.9976111999985733,2.70309129999805,3.3958333333333335,0.0,0.0,0.0,100.0,372.425,280.6444067755374,0.0,350.0,800.0,3.3958333333333335,254887.14583333334
dang,82,82,3.594776119512173,3.086730200000602,6.552097899999353,2.4878048780487805,0.0,0.0,0.0,100.0,632.5365853658536,475.5012221069819,18.0,472.0,1297.0,2.4878048780487805,858811.7073170731
vansteenwegen,67,67,3.0374294850744943,2.9924511999997776,4.644283799996629,2.5970149253731343,0.0,0.0,0.0,100.0,648.5820895522388,465.33058139067737,20.0,472.0,1297.0,2.5970149253731343,782132.5373134328
