dataset,instance,run_index,run_seed,num_nodes,team_size,max_route_distance,total_score,reference_best_score,gap_to_reference_best_percent,success_reference_hit,cpu_time_seconds,iterations,iterations_to_convergence,last_improvement_iteration,stagnation_iterations,accepted_worse_moves,restarts_performed,num_lp_solves,num_labels_generated,status
chao,p4.4.e.txt,0,44007,100,4,22.5,181.0,181.0,0.0,1,1.0820590000366792,12,12,12,0,0,0,12,363550,ok
chao,p4.4.f.txt,0,45007,100,4,25.0,214.0,214.0,0.0,1,0.3996482000220567,2,2,2,0,0,0,2,87472,ok
chao,p4.4.g.txt,0,46007,100,4,27.5,340.0,340.0,0.0,1,2.030070299981162,12,12,12,0,0,0,12,871750,ok
chao,p4.4.h.txt,0,47007,100,4,30.0,305.0,305.0,0.0,1,0.6748438000213355,2,2,2,0,0,0,2,265232,ok
chao,p4.4.i.txt,0,48007,100,4,32.5,467.0,467.0,0.0,1,4.468217699904926,12,12,12,0,0,0,12,1497584,ok
chao,p4.4.j.txt,0,49007,100,4,35.0,361.0,361.0,0.0,1,1.1653653000248596,2,2,2,0,0,0,2,360360,ok
chao,p4.4.k.txt,0,50007,100,4,37.5,386.0,386.0,0.0,1,6.251668200013228,12,12,12,0,0,0,12,2118116,ok
chao,p4.4.l.txt,0,51007,100,4,40.0,394.0,394.0,0.0,1,1.6327831000089645,2,2,2,0,0,0,2,360360,ok
chao,p4.4.m.txt,0,52007,100,4,42.5,427.0,427.0,0.0,1,1.9828297999920323,2,2,2,0,0,0,2,652080,ok
chao,p4.4.n.txt,0,53007,100,4,45.0,435.0,435.0,0.0,1,2.2422504000132903,2,2,2,0,0,0,2,526592,ok
chao,p4.4.o.txt,0,54007,100,4,47.5,451.0,451.0,0.0,1,2.4201558000640944,2,2,2,0,0,0,2,652080,ok
chao,p4.4.p.txt,0,55007,100,4,50.0,467.0,467.0,0.0,1,2.8031352000543848,2,2,2,0,0,0,2,652080,ok
chao,p4.4.q.txt,0,56007,100,4,52.5,487.0,487.0,0.0,1,2.904704899992794,2,2,2,0,0,0,2,652080,ok
chao,p4.4.r.txt,0,57007,100,4,55.0,494.0,494.0,0.0,1,3.0238145999610424,2,2,2,0,0,0,2,652080,ok
chao,p4.4.s.txt,0,58007,100,4,57.5,506.0,506.0,0.0,1,3.2035170999588445,2,2,2,0,0,0,2,652080,ok
chao,p4.4.t.txt,0,59007,100,4,60.0,511.0,511.0,0.0,1,3.3081535999663174,2,2,2,0,0,0,2,652080,ok
chao,p5.2.a.txt,0,60007,66,2,2.5,0,0.0,0.0,1,0.07578890002332628,1,1,1,0,0,0,1,1408,ok
chao,p5.2.b.txt,0,61007,66,2,5.0,20.0,20.0,0.0,1,0.1265277999918908,1,1,1,0,0,0,1,8272,ok
chao,p5.2.c.txt,0,62007,66,2,7.5,40.0,40.0,0.0,1,0.1464638999896124,1,1,1,0,0,0,1,8272,ok
chao,p5.2.d.txt,0,63007,66,2,10.0,80.0,80.0,0.0,1,0.29634089989122003,2,2,2,0,0,0,2,40480,ok
chao,p5.2.e.txt,0,64007,66,2,12.5,170.0,170.0,0.0,1,0.6089203000301495,2,2,2,0,0,0,2,56056,ok
chao,p5.2.f.txt,0,65007,66,2,15.0,190.0,190.0,0.0,1,0.892984899925068,2,2,2,0,0,0,2,56056,ok
chao,p5.2.g.txt,0,66007,66,2,17.5,320.0,320.0,0.0,1,1.377479999908246,2,2,2,0,0,0,2,116160,ok
chao,p5.2.h.txt,0,67007,66,2,20.0,390.0,390.0,0.0,1,1.6171094999881461,2,2,2,0,0,0,2,140360,ok
chao,p5.2.i.txt,0,68007,66,2,22.5,435.0,435.0,0.0,1,2.7338961999630556,3,3,3,0,0,0,3,205480,ok
chao,p5.2.j.txt,0,69007,66,2,25.0,560.0,560.0,0.0,1,2.1780161999631673,2,2,2,0,0,0,2,224224,ok
chao,p5.2.k.txt,0,70007,66,2,27.5,620.0,620.0,0.0,1,2.35669849999249,2,2,2,0,0,0,2,224224,ok
chao,p5.2.l.txt,0,71007,66,2,30.0,700.0,700.0,0.0,1,2.371125299949199,2,2,2,0,0,0,2,288640,ok
chao,p5.2.m.txt,0,72007,66,2,32.5,810.0,810.0,0.0,1,1.9466051999479532,2,2,2,0,0,0,2,323136,ok
chao,p5.2.n.txt,0,73007,66,2,35.0,830.0,830.0,0.0,1,1.9221149999648333,3,3,3,0,0,0,3,571793,ok
chao,p5.2.o.txt,0,74007,66,2,37.5,940.0,940.0,0.0,1,1.5233604999957606,2,2,2,0,0,0,2,396264,ok
chao,p5.2.p.txt,0,75007,66,2,40.0,1000.0,1000.0,0.0,1,1.549172000028193,2,2,2,0,0,0,2,396264,ok
chao,p5.2.q.txt,0,76007,66,2,42.5,1060.0,1060.0,0.0,1,1.4321420999476686,2,2,2,0,0,0,2,396264,ok
chao,p5.2.r.txt,0,77007,66,2,45.0,1050.0,1050.0,0.0,1,1.45590409997385,2,2,2,0,0,0,2,396264,ok
chao,p5.2.s.txt,0,78007,66,2,47.5,1060.0,1060.0,0.0,1,1.5989252000581473,2,2,2,0,0,0,2,396264,ok
chao,p5.2.t.txt,0,79007,66,2,50.0,1060.0,1060.0,0.0,1,1.416381400078535,2,2,2,0,0,0,2,396264,ok
