dataset,instance,num_nodes,team_size,runs,reference_best_score,best_score,mean_score,std_score,mean_cpu_time_seconds,median_cpu_time_seconds,mean_lp_solves,mean_labels_generated,success_rate_percent,mean_gap_to_reference_best_percent,max_gap_to_reference_best_percent
chao,p4.3.q.txt,100,3,1,463.0,463.0,463.0,0.0,3.4239156999392435,3.4239156999392435,2.0,652080.0,100.0,0.0,0.0
chao,p4.3.r.txt,100,3,1,463.0,463.0,463.0,0.0,3.553894400014542,3.553894400014542,2.0,652080.0,100.0,0.0,0.0
chao,p4.3.s.txt,100,3,1,463.0,463.0,463.0,0.0,3.645152200013399,3.645152200013399,2.0,652080.0,100.0,0.0,0.0
chao,p4.3.t.txt,100,3,1,463.0,463.0,463.0,0.0,3.63153280003462,3.63153280003462,2.0,652080.0,100.0,0.0,0.0
chao,p4.4.a.txt,100,4,1,0.0,0.0,0.0,0.0,0.07392580003943294,0.07392580003943294,1.0,2156.0,100.0,0.0,0.0
chao,p4.4.b.txt,100,4,1,0.0,0.0,0.0,0.0,0.04768249997869134,0.04768249997869134,1.0,2156.0,100.0,0.0,0.0
chao,p4.4.c.txt,100,4,1,0.0,0.0,0.0,0.0,0.03887079993728548,0.03887079993728548,1.0,2156.0,100.0,0.0,0.0
chao,p4.4.d.txt,100,4,1,38.0,38.0,38.0,0.0,0.05895919993054122,0.05895919993054122,1.0,6424.0,100.0,0.0,0.0
chao,p4.4.e.txt,100,4,1,181.0,181.0,181.0,0.0,1.0820590000366792,1.0820590000366792,12.0,363550.0,100.0,0.0,0.0
chao,p4.4.f.txt,100,4,1,214.0,214.0,214.0,0.0,0.3996482000220567,0.3996482000220567,2.0,87472.0,100.0,0.0,0.0
chao,p4.4.g.txt,100,4,1,340.0,340.0,340.0,0.0,2.030070299981162,2.030070299981162,12.0,871750.0,100.0,0.0,0.0
chao,p4.4.h.txt,100,4,1,305.0,305.0,305.0,0.0,0.6748438000213355,0.6748438000213355,2.0,265232.0,100.0,0.0,0.0
chao,p4.4.i.txt,100,4,1,467.0,467.0,467.0,0.0,4.468217699904926,4.468217699904926,12.0,1497584.0,100.0,0.0,0.0
chao,p4.4.j.txt,100,4,1,361.0,361.0,361.0,0.0,1.1653653000248596,1.1653653000248596,2.0,360360.0,100.0,0.0,0.0
chao,p4.4.k.txt,100,4,1,386.0,386.0,386.0,0.0,6.251668200013228,6.251668200013228,12.0,2118116.0,100.0,0.0,0.0
chao,p4.4.l.txt,100,4,1,394.0,394.0,394.0,0.0,1.6327831000089645,1.6327831000089645,2.0,360360.0,100.0,0.0,0.0
chao,p4.4.m.txt,100,4,1,427.0,427.0,427.0,0.0,1.9828297999920323,1.9828297999920323,2.0,652080.0,100.0,0.0,0.0
chao,p4.4.n.txt,100,4,1,435.0,435.0,435.0,0.0,2.2422504000132903,2.2422504000132903,2.0,526592.0,100.0,0.0,0.0
chao,p4.4.o.txt,100,4,1,451.0,451.0,451.0,0.0,2.4201558000640944,2.4201558000640944,2.0,652080.0,100.0,0.0,0.0
chao,p4.4.p.txt,100,4,1,467.0,467.0,467.0,0.0,2.8031352000543848,2.8031352000543848,2.0,652080.0,100.0,0.0,0.0
chao,p4.4.q.txt,100,4,1,487.0,487.0,487.0,0.0,2.904704899992794,2.904704899992794,2.0,652080.0,100.0,0.0,0.0
chao,p4.4.r.txt,100,4,1,494.0,494.0,494.0,0.0,3.0238145999610424,3.0238145999610424,2.0,652080.0,100.0,0.0,0.0
chao,p4.4.s.txt,100,4,1,506.0,506.0,506.0,0.0,3.2035170999588445,3.2035170999588445,2.0,652080.0,100.0,0.0,0.0
chao,p4.4.t.txt,100,4,1,511.0,511.0,511.0,0.0,3.3081535999663174,3.3081535999663174,2.0,652080.0,100.0,0.0,0.0
chao,p5.2.a.txt,66,2,1,0.0,0.0,0.0,0.0,0.07578890002332628,0.07578890002332628,1.0,1408.0,100.0,0.0,0.0
chao,p5.2.b.txt,66,2,1,20.0,20.0,20.0,0.0,0.1265277999918908,0.1265277999918908,1.0,8272.0,100.0,0.0,0.0
chao,p5.2.c.txt,66,2,1,40.0,40.0,40.0,0.0,0.1464638999896124,0.1464638999896124,1.0,8272.0,100.0,0.0,0.0
chao,p5.2.d.txt,66,2,1,80.0,80.0,80.0,0.0,0.29634089989122003,0.29634089989122003,2.0,40480.0,100.0,0.0,0.0
chao,p5.2.e.txt,66,2,1,170.0,170.0,170.0,0.0,0.6089203000301495,0.6089203000301495,2.0,56056.0,100.0,0.0,0.0
chao,p5.2.f.txt,66,2,1,190.0,190.0,190.0,0.0,0.892984899925068,0.892984899925068,2.0,56056.0,100.0,0.0,0.0
chao,p5.2.g.txt,66,2,1,320.0,320.0,320.0,0.0,1.377479999908246,1.377479999908246,2.0,116160.0,100.0,0.0,0.0
chao,p5.2.h.txt,66,2,1,390.0,390.0,390.0,0.0,1.6171094999881461,1.6171094999881461,2.0,140360.0,100.0,0.0,0.0
chao,p5.2.i.txt,66,2,1,435.0,435.0,435.0,0.0,2.7338961999630556,2.7338961999630556,3.0,205480.0,100.0,0.0,0.0
chao,p5.2.j.txt,66,2,1,560.0,560.0,560.0,0.0,2.1780161999631673,2.1780161999631673,2.0,224224.0,100.0,0.0,0.0
chao,p5.2.k.txt,66,2,1,620.0,620.0,620.0,0.0,2.35669849999249,2.35669849999249,2.0,224224.0,100.0,0.0,0.0
chao,p5.2.l.txt,66,2,1,700.0,700.0,700.0,0.0,2.371125299949199,2.371125299949199,2.0,288640.0,100.0,0.0,0.0
chao,p5.2.m.txt,66,2,1,810.0,810.0,810.0,0.0,1.9466051999479532,1.9466051999479532,2.0,323136.0,100.0,0.0,0.0
chao,p5.2.n.txt,66,2,1,830.0,830.0,830.0,0.0,1.9221149999648333,1.9221149999648333,3.0,571793.0,100.0,0.0,0.0
chao,p5.2.o.txt,66,2,1,940.0,940.0,940.0,0.0,1.5233604999957606,1.5233604999957606,2.0,396264.0,100.0,0.0,0.0
chao,p5.2.p.txt,66,2,1,1000.0,1000.0,1000.0,0.0,1.549172000028193,1.549172000028193,2.0,396264.0,100.0,0.0,0.0
chao,p5.2.q.txt,66,2,1,1060.0,1060.0,1060.0,0.0,1.4321420999476686,1.4321420999476686,2.0,396264.0,100.0,0.0,0.0
chao,p5.2.r.txt,66,2,1,1050.0,1050.0,1050.0,0.0,1.45590409997385,1.45590409997385,2.0,396264.0,100.0,0.0,0.0
