dataset,instance,num_nodes,mean_cpu_time_seconds
chao,p5.4.w.txt,66,4.644575299927965
chao,p5.4.x.txt,66,5.313870400073938
chao,p5.4.y.txt,66,6.60894589999225
chao,p5.4.z.txt,66,5.323927199933678
chao,p6.2.a.txt,64,0.06177410006057471
chao,p6.2.b.txt,64,0.0343481000745669
chao,p6.2.c.txt,64,0.03325930004939437
chao,p6.2.d.txt,64,0.2427717000246048
chao,p6.2.e.txt,64,0.4923616999294609
chao,p6.2.f.txt,64,0.7444638999877498
chao,p6.2.g.txt,64,0.9218925000168383
chao,p6.2.h.txt,64,1.1369136000284925
chao,p6.2.i.txt,64,1.415667999885045
chao,p6.2.j.txt,64,1.4896355998935178
chao,p6.2.k.txt,64,1.3272113999119028
chao,p6.2.l.txt,64,1.3141163000836968
chao,p6.2.m.txt,64,1.3905524000292644
chao,p6.2.n.txt,64,1.3025596999796107
chao,p6.3.a.txt,64,0.051012399955652654
chao,p6.3.b.txt,64,0.033018199959769845
chao,p6.3.c.txt,64,0.03420969995204359
chao,p6.3.d.txt,64,0.03497390006668866
chao,p6.3.e.txt,64,0.033828499959781766
chao,p6.3.f.txt,64,0.03764699993189424
chao,p6.3.g.txt,64,0.3626213000388816
chao,p6.3.h.txt,64,1.809193400084041
chao,p6.3.i.txt,64,2.6195267000002787
chao,p6.3.j.txt,64,0.7312795000616461
chao,p6.3.k.txt,64,4.0078237999696285
chao,p6.3.l.txt,64,5.099663899978623
chao,p6.3.m.txt,64,5.161465200013481
chao,p6.3.n.txt,64,5.284297800040804
chao,p6.4.a.txt,64,0.0536516000283882
chao,p6.4.b.txt,64,0.03450539999175817
chao,p6.4.c.txt,64,0.0359172000316903
chao,p6.4.d.txt,64,0.03832419996615499
chao,p6.4.e.txt,64,0.03399240004364401
chao,p6.4.f.txt,64,0.03680330002680421
chao,p6.4.g.txt,64,0.03642989997752011
chao,p6.4.h.txt,64,0.03465759998653084
chao,p6.4.i.txt,64,0.03433649998623878
chao,p6.4.j.txt,64,0.8438283000141382
chao,p6.4.k.txt,64,0.30832409998402
chao,p6.4.l.txt,64,2.265859300037846
chao,p6.4.m.txt,64,2.802350000012666
chao,p6.4.n.txt,64,0.7349584000185132
chao,p7.2.a.txt,102,0.06811160000506788
chao,p7.2.b.txt,102,0.13429239997640252
chao,p7.2.c.txt,102,0.1466448000865057
chao,p7.2.d.txt,102,0.23679270001593977
chao,p7.2.e.txt,102,0.36208909994456917
chao,p7.2.f.txt,102,0.5296853999607265
chao,p7.2.g.txt,102,0.7770399999571964
chao,p7.2.h.txt,102,1.0846652000909671
chao,p7.2.i.txt,102,1.6349624999566004
chao,p7.2.j.txt,102,1.618766100029461
chao,p7.2.k.txt,102,1.7741801000665873
chao,p7.2.l.txt,102,2.128482099971734
chao,p7.2.m.txt,102,1.963706300011836
chao,p7.2.n.txt,102,2.139497800031677
chao,p7.2.o.txt,102,2.1494673000415787
chao,p7.2.p.txt,102,1.9944776999764144
chao,p7.2.q.txt,102,2.243610500008799
chao,p7.2.r.txt,102,2.0437604000326246
chao,p7.2.s.txt,102,2.174525500042364
chao,p7.2.t.txt,102,2.0579114999854937
chao,p7.3.a.txt,102,0.05707940005231649
chao,p7.3.b.txt,102,0.06390750000718981
chao,p7.3.c.txt,102,0.1332344999536872
chao,p7.3.d.txt,102,0.19017810001969337
chao,p7.3.e.txt,102,0.7770113000879064
chao,p7.3.f.txt,102,0.22888979990966618
chao,p7.3.g.txt,102,0.31753709993790835
chao,p7.3.h.txt,102,1.3141175999771804
chao,p7.3.i.txt,102,1.9335892000235617
chao,p7.3.j.txt,102,0.6926901999395341
chao,p7.3.k.txt,102,0.9149561999365687
chao,p7.3.l.txt,102,1.0871624000137672
chao,p7.3.m.txt,102,1.4107240999583155
chao,p7.3.n.txt,102,1.4945103999925777
chao,p7.3.o.txt,102,1.6143349000485614
chao,p7.3.p.txt,102,1.8406081000575796
chao,p7.3.q.txt,102,1.8161987999919802
chao,p7.3.r.txt,102,1.8306309999898076
chao,p7.3.s.txt,102,2.1778908000560477
chao,p7.3.t.txt,102,1.9644627999514341
chao,p7.4.a.txt,102,0.05274209997151047
chao,p7.4.b.txt,102,0.06272669997997582
chao,p7.4.c.txt,102,0.06610049994196743
chao,p7.4.d.txt,102,0.08675840008072555
chao,p7.4.e.txt,102,0.10159330000169575
chao,p7.4.f.txt,102,0.22440619999542832
chao,p7.4.g.txt,102,0.17330270004458725
chao,p7.4.h.txt,102,0.9015309000387788
chao,p7.4.i.txt,102,0.26890110003296286
chao,p7.4.j.txt,102,1.2814936999930069
chao,p7.4.k.txt,102,2.105893599917181
chao,p7.4.l.txt,102,0.5481607000110671
chao,p7.4.m.txt,102,3.0641679000109434
chao,p7.4.n.txt,102,3.4863304999889806
chao,p7.4.o.txt,102,4.467204699991271
chao,p7.4.p.txt,102,1.0983897999394685
chao,p7.4.q.txt,102,1.5287919000256807
chao,p7.4.r.txt,102,7.906189600005746
chao,p7.4.s.txt,102,7.001045499928296
chao,p7.4.t.txt,102,1.683275300078094
dang,bier127_gen1_m2.txt,128,8.883158699958585
dang,bier127_gen1_m3.txt,128,11.753874300047755
dang,bier127_gen2_m2.txt,128,2.877119499957189
dang,bier127_gen2_m3.txt,128,11.885213600005955
dang,bier127_gen2_m4.txt,128,2.7432058000704274
dang,bier127_gen3_m2.txt,128,2.646786700002849
dang,bier127_gen3_m3.txt,128,2.836890200036578
dang,bier127_gen3_m4.txt,128,2.6117047000443563
dang,cmt101c_m3.txt,102,9.16230219998397
dang,cmt151b_m3.txt,152,12.7554704999784
dang,cmt151c_m2.txt,152,13.805357899982482
dang,cmt151c_m3.txt,152,14.071414100006223
dang,cmt151c_m4.txt,152,13.880289900000207
dang,cmt200b_m2.txt,201,18.691154000000097
dang,cmt200b_m3.txt,201,17.661756200017408
dang,cmt200b_m4.txt,201,13.508402699953876
dang,cmt200c_m2.txt,201,18.094503100030124
dang,cmt200c_m3.txt,201,18.49571869999636
dang,cmt200c_m4.txt,201,18.512963499990292
dang,eil101b_m3.txt,102,1.7501124000409618
dang,eil101c_m2.txt,102,2.143399100052193
dang,eil101c_m3.txt,102,2.066000199993141
dang,gil262_gen1_m3.txt,263,3.1787061999784783
dang,gil262_gen1_m4.txt,263,1.340954199898988
dang,gil262_gen2_m2.txt,263,5.564477700041607
dang,gil262_gen2_m3.txt,263,3.1388968999963254
dang,gil262_gen3_m2.txt,263,5.779154900112189
dang,gil262_gen3_m4.txt,263,1.2280043999198824
dang,gil262a_m2.txt,251,17.8733082000399
dang,gil262a_m4.txt,251,1.112805899931118
dang,gil262b_m2.txt,251,22.587655099923722
dang,gil262b_m3.txt,251,5.201890500029549
dang,gil262b_m4.txt,251,4.203795099980198
dang,gil262c_m2.txt,251,23.192859000060707
dang,gil262c_m3.txt,251,5.289655000087805
dang,gil262c_m4.txt,251,5.384156399988569
dang,gr229_gen1_m4.txt,230,4.9272995999781415
dang,gr229_gen2_m3.txt,230,4.634185400092974
dang,gr229_gen2_m4.txt,230,4.811304499977268
dang,gr229_gen3_m3.txt,230,4.935562900034711
dang,gr229_gen3_m4.txt,230,4.893130499986
dang,kroA150_gen2_m2.txt,151,2.8652257000794634
dang,kroA150_gen3_m3.txt,151,1.6326683999504894
dang,kroA200_gen1_m4.txt,201,1.757420999929309
dang,kroB200_gen1_m2.txt,201,4.059865099960007
dang,kroB200_gen2_m2.txt,201,3.982940400019288
dang,kroB200_gen2_m4.txt,201,1.7693882000166923
dang,kroB200_gen3_m2.txt,201,3.77113000000827
dang,kroB200_gen3_m3.txt,201,2.194630900048651
dang,lin318_gen1_m2.txt,319,6.876415400067344
dang,lin318_gen1_m3.txt,319,6.652289899997413
dang,lin318_gen2_m2.txt,319,6.89557719998993
dang,lin318_gen2_m3.txt,319,6.717529500019737
dang,lin318_gen3_m2.txt,319,6.725810800096951
dang,lin318_gen3_m4.txt,319,6.474631900084205
dang,pr136_gen1_m2.txt,137,12.501911200000905
dang,pr136_gen2_m2.txt,137,2.8814886999316514
dang,pr264_gen1_m4.txt,265,4.122645900002681
dang,pr264_gen2_m2.txt,265,5.260057199979201
dang,pr264_gen2_m3.txt,265,4.981335800024681
dang,pr264_gen2_m4.txt,265,4.105791400070302
dang,pr264_gen3_m3.txt,265,8.741898600012064
dang,pr299_gen1_m2.txt,300,6.345938800019212
dang,pr299_gen1_m3.txt,300,3.5009394000517204
dang,pr299_gen1_m4.txt,300,2.734415600076318
dang,pr299_gen2_m3.txt,300,3.816066199913621
dang,pr299_gen2_m4.txt,300,2.9914133000420406
dang,pr299_gen3_m2.txt,300,6.340586700011045
dang,pr299_gen3_m3.txt,300,3.4611942999763414
dang,pr299_gen3_m4.txt,300,2.7831450999947265
dang,rat195_gen2_m2.txt,196,4.25102850003168
dang,rat195_gen3_m3.txt,196,3.8093551999190822
dang,rd400_gen1_m2.txt,401,9.057332700002007
dang,rd400_gen1_m3.txt,401,9.033294899971224
dang,rd400_gen1_m4.txt,401,8.61420279997401
dang,rd400_gen2_m2.txt,401,9.13769180001691
dang,rd400_gen2_m3.txt,401,8.983326300047338
dang,rd400_gen2_m4.txt,401,8.503864699974656
dang,rd400_gen3_m2.txt,401,9.330814799992368
dang,rd400_gen3_m3.txt,401,8.979825200047344
dang,rd400_gen3_m4.txt,401,8.673063799971715
dang,ts225_gen2_m2.txt,226,4.814646600047126
vansteenwegen,bier127_gen1_m2.txt,128,8.838506100000814
vansteenwegen,bier127_gen1_m3.txt,128,11.747861100011505
vansteenwegen,bier127_gen2_m2.txt,128,2.7986177999991924
vansteenwegen,bier127_gen2_m3.txt,128,11.528324600076303
vansteenwegen,bier127_gen2_m4.txt,128,2.766706500086002
vansteenwegen,bier127_gen3_m2.txt,128,2.591375199961476
vansteenwegen,bier127_gen3_m3.txt,128,2.805112399975769
vansteenwegen,bier127_gen3_m4.txt,128,2.5235141000011936
vansteenwegen,cmt101c_m3.txt,102,8.876649899990298
vansteenwegen,cmt151b_m3.txt,152,12.458491099998355
vansteenwegen,cmt151c_m2.txt,152,13.077306600054726
vansteenwegen,cmt151c_m3.txt,152,13.51096880005207
vansteenwegen,cmt151c_m4.txt,152,13.90040579997003
vansteenwegen,cmt200b_m2.txt,201,18.55403049988672
vansteenwegen,cmt200b_m3.txt,201,18.569488000008278
vansteenwegen,cmt200b_m4.txt,201,13.296060499968007
vansteenwegen,cmt200c_m2.txt,201,18.485853900085203
vansteenwegen,cmt200c_m3.txt,201,18.29110559995752
vansteenwegen,cmt200c_m4.txt,201,18.151581699959934
vansteenwegen,eil101b_m3.txt,102,1.8561537999194115
vansteenwegen,eil101c_m2.txt,102,2.222291599959135
vansteenwegen,eil101c_m3.txt,102,2.0033735000761226
vansteenwegen,gil262_gen1_m3.txt,263,3.125352800008841
vansteenwegen,gil262_gen1_m4.txt,263,1.2576757000060752
vansteenwegen,gil262_gen2_m2.txt,263,5.531266300007701
vansteenwegen,gil262_gen2_m3.txt,263,3.140199700021185
vansteenwegen,gil262_gen3_m2.txt,263,5.554148999974132
vansteenwegen,gil262_gen3_m4.txt,263,1.3059505999553949
vansteenwegen,gil262a_m2.txt,251,17.880158999934793
vansteenwegen,gil262a_m4.txt,251,1.126085099996999
vansteenwegen,gil262b_m2.txt,251,23.517228699987754
vansteenwegen,gil262b_m3.txt,251,5.027116899960674
vansteenwegen,gil262b_m4.txt,251,4.099884200026281
vansteenwegen,gil262c_m2.txt,251,23.21749930002261
vansteenwegen,gil262c_m3.txt,251,5.548864400014281
vansteenwegen,gil262c_m4.txt,251,5.264568199985661
vansteenwegen,gr229_gen1_m4.txt,230,4.959427100024186
vansteenwegen,gr229_gen2_m3.txt,230,4.911965599982068
vansteenwegen,gr229_gen2_m4.txt,230,4.945827199961059
vansteenwegen,gr229_gen3_m3.txt,230,4.813208699924871
vansteenwegen,gr229_gen3_m4.txt,230,4.929530199966393
vansteenwegen,kroA150_gen2_m2.txt,151,2.725898699951358
vansteenwegen,kroA150_gen3_m3.txt,151,1.7361708000535145
vansteenwegen,kroA200_gen1_m4.txt,201,1.5909410000313073
vansteenwegen,kroB200_gen1_m2.txt,201,4.1954952999949455
vansteenwegen,kroB200_gen2_m2.txt,201,3.9489478000905365
vansteenwegen,kroB200_gen2_m4.txt,201,1.767135199974291
