dataset,num_instances,num_runs,mean_cpu_time_seconds,median_cpu_time_seconds,p90_cpu_time_seconds,mean_iterations_to_convergence,mean_gap_to_reference_best_percent,median_gap_to_reference_best_percent,p90_gap_to_reference_best_percent,success_rate_percent,score_mean,score_std,score_p10,score_p50,score_p90,mean_lp_solves,mean_labels_generated
chao,240,240,1.8383514958336795,1.5241050500189885,4.7320537000196055,4.1125,0.0,0.0,0.0,100.0,440.69166666666666,368.66927487910954,0.0,400.0,1050.0,4.1125,513314.0291666667
dang,82,82,7.076187808543626,5.230973850004375,14.071414100006223,4.182926829268292,0.0,0.0,0.0,100.0,791.5487804878048,554.2751055683589,22.0,698.0,1488.0,4.182926829268292,3043809.7317073173
vansteenwegen,67,67,6.844207476120817,4.813208699924871,17.880158999934793,4.6716417910447765,0.0,0.0,0.0,100.0,818.6865671641791,538.1054365804447,24.0,732.0,1486.0,4.6716417910447765,3127494.7164179105
