dataset,num_instances_base,num_runs_base,mean_cpu_time_seconds_base,median_cpu_time_seconds_base,p90_cpu_time_seconds_base,mean_iterations_to_convergence_base,mean_gap_to_reference_best_percent_base,median_gap_to_reference_best_percent_base,p90_gap_to_reference_best_percent_base,success_rate_percent_base,score_mean_base,score_std_base,score_p10_base,score_p50_base,score_p90_base,num_instances_improved,num_runs_improved,mean_cpu_time_seconds_improved,median_cpu_time_seconds_improved,p90_cpu_time_seconds_improved,mean_iterations_to_convergence_improved,mean_gap_to_reference_best_percent_improved,median_gap_to_reference_best_percent_improved,p90_gap_to_reference_best_percent_improved,success_rate_percent_improved,score_mean_improved,score_std_improved,score_p10_improved,score_p50_improved,score_p90_improved,mean_cpu_time_seconds_pct_change,mean_gap_to_reference_best_percent_pct_change,success_rate_percent_pct_change,score_mean_pct_change,mean_iterations_to_convergence_pct_change
chao,240,480,0.1774238070827171,0.1344468999886885,0.4164720999542624,8.804166666666667,1.119190635307835,0.0,3.896103896103896,66.04166666666667,635.4,461.7893563123129,0.0,649.0,1239.0,240,480,0.2252198427082741,0.1212177500001416,0.3493968999991921,8.220833333333333,1.101901064919036,0.0,4.116222760290557,66.66666666666666,635.2854166666667,462.3782712862433,0.0,645.0,1246.0,26.93890769871369,-1.5448280072539609,0.9463722397476124,-0.01803325988877204,-6.6256507335541945
dang,82,164,6.507334147556543,5.731761450006161,15.164829100016505,14.859756097560975,1.907676511717053,0.0,6.583969465648855,53.65853658536586,3898.9634146341455,3279.26031965321,101.0,2930.0,9225.0,82,164,2.6491528567072997,1.7160590499997852,7.693897500001185,14.457317073170731,2.0437998393883348,0.0,6.127450980392156,52.4390243902439,3834.7195121951218,3211.08375059874,99.0,2848.0,8847.0,-59.28973683175563,7.135556098489694,-2.2727272727272845,-1.6477174983969927,-2.7082478457119405
vansteenwegen,67,134,2.758124463430453,2.493883849994745,5.441643300000578,14.798507462686567,1.9435373601104569,0.0,6.422443774634826,54.47761194029851,3498.574626865672,2834.632811952808,97.0,2599.0,7355.0,67,134,1.6145212373133548,1.3494001999997636,3.000130899999931,14.119402985074627,2.24460993829545,0.0,6.38611429507123,52.23880597014925,3444.5298507462685,2779.615748557442,96.0,2618.0,7355.0,-41.46307540794323,15.490959132778501,-4.109589041095898,-1.544765565507507,-4.589006555723649
