dataset,metric,baseline,improved,delta,delta_percent
chao,mean_cpu_time_seconds,0.1774238070827171,0.2252198427082741,0.04779603562555701,26.93890769871369
chao,mean_gap_to_reference_best_percent,1.119190635307835,1.101901064919036,-0.01728957038879897,-1.5448280072539609
chao,success_rate_percent,66.04166666666667,66.66666666666666,0.6249999999999858,0.9463722397476124
chao,score_mean,635.4,635.2854166666667,-0.11458333333325754,-0.01803325988877204
chao,mean_iterations_to_convergence,8.804166666666667,8.220833333333333,-0.5833333333333339,-6.6256507335541945
dang,mean_cpu_time_seconds,6.507334147556543,2.6491528567072997,-3.8581812908492434,-59.28973683175563
dang,mean_gap_to_reference_best_percent,1.907676511717053,2.0437998393883348,0.13612332767128166,7.135556098489694
dang,success_rate_percent,53.65853658536586,52.4390243902439,-1.2195121951219576,-2.2727272727272845
dang,score_mean,3898.9634146341455,3834.7195121951218,-64.24390243902371,-1.6477174983969927
dang,mean_iterations_to_convergence,14.859756097560975,14.457317073170731,-0.4024390243902438,-2.7082478457119405
vansteenwegen,mean_cpu_time_seconds,2.758124463430453,1.6145212373133548,-1.1436032261170983,-41.46307540794323
vansteenwegen,mean_gap_to_reference_best_percent,1.9435373601104569,2.24460993829545,0.301072578184993,15.490959132778501
vansteenwegen,success_rate_percent,54.47761194029851,52.23880597014925,-2.238805970149258,-4.109589041095898
vansteenwegen,score_mean,3498.574626865672,3444.5298507462685,-54.04477611940365,-1.544765565507507
vansteenwegen,mean_iterations_to_convergence,14.798507462686567,14.119402985074627,-0.6791044776119399,-4.589006555723649
