dataset,instance,num_nodes_base,team_size_base,runs_base,reference_best_score_base,best_score_base,mean_score_base,std_score_base,mean_cpu_time_seconds_base,median_cpu_time_seconds_base,mean_iterations_to_convergence_base,success_rate_percent_base,mean_gap_to_reference_best_percent_base,max_gap_to_reference_best_percent_base,num_nodes_improved,team_size_improved,runs_improved,reference_best_score_improved,best_score_improved,mean_score_improved,std_score_improved,mean_cpu_time_seconds_improved,median_cpu_time_seconds_improved,mean_iterations_to_convergence_improved,success_rate_percent_improved,mean_gap_to_reference_best_percent_improved,max_gap_to_reference_best_percent_improved,score_delta,cpu_delta,gap_delta
chao,p4.2.o.txt,100,2,2,1149.0,1149.0,1142.0,9.899494936611664,0.4922339000040665,0.4922339000040665,15.5,50.0,0.6092254134029591,1.2184508268059182,100,2,2,1144.0,1144.0,1136.5,10.606601717798211,0.2834569999995437,0.2834569999995437,9.5,50.0,0.6555944055944056,1.3111888111888113,-5.5,-0.20877690000452281,0.04636899219144652
chao,p4.2.p.txt,100,2,2,1178.0,1178.0,1174.0,5.656854249492381,0.4444114500074647,0.4444114500074647,16.5,50.0,0.3395585738539898,0.6791171477079796,100,2,2,1163.0,1163.0,1159.5,4.949747468305833,0.3078315000002476,0.3078315000002476,17.0,50.0,0.3009458297506449,0.6018916595012898,-14.5,-0.13657995000721707,-0.03861274410334492
chao,p4.2.q.txt,100,2,2,1206.0,1206.0,1199.0,9.899494936611664,0.4390445000608451,0.4390445000608451,12.5,50.0,0.5804311774461027,1.1608623548922057,100,2,2,1204.0,1204.0,1199.0,7.071067811865476,0.3307061499990595,0.3307061499990595,7.0,50.0,0.4152823920265781,0.8305647840531563,0.0,-0.1083383500617856,-0.16514878541952466
chao,p4.2.r.txt,100,2,2,1205.0,1205.0,1200.0,7.071067811865476,0.5135367499897256,0.5135367499897256,18.0,50.0,0.4149377593360996,0.8298755186721992,100,2,2,1246.0,1246.0,1221.5,34.64823227814083,0.3090263999993112,0.3090263999993112,13.0,50.0,1.9662921348314608,3.932584269662921,21.5,-0.20451034999041445,1.5513543754953611
chao,p4.2.s.txt,100,2,2,1276.0,1276.0,1262.0,19.79898987322333,0.5409909000736661,0.5409909000736661,9.0,50.0,1.09717868338558,2.19435736677116,100,2,2,1289.0,1289.0,1271.0,25.45584412271571,0.4171175999990737,0.4171175999990737,16.0,50.0,1.3964313421256789,2.7928626842513578,9.0,-0.12387330007459241,0.299252658740099
chao,p4.2.t.txt,100,2,2,1295.0,1295.0,1289.5,7.7781745930520225,0.5048582499730401,0.5048582499730401,12.0,50.0,0.4247104247104247,0.8494208494208495,100,2,2,1284.0,1284.0,1279.5,6.363961030678928,0.3633432500009803,0.3633432500009803,12.0,50.0,0.3504672897196261,0.7009345794392523,-10.0,-0.1415149999720598,-0.0742431349907986
chao,p4.3.a.txt,100,3,2,0.0,0.0,0.0,0.0,0.011785399983637,0.011785399983637,0.0,100.0,0.0,0.0,100,3,2,0.0,0.0,0.0,0.0,0.0078569999996034,0.0078569999996034,0.0,100.0,0.0,0.0,0.0,-0.0039283999840336,0.0
chao,p4.3.b.txt,100,3,2,38.0,38.0,38.0,0.0,0.0290999499848112,0.0290999499848112,0.0,100.0,0.0,0.0,100,3,2,38.0,38.0,38.0,0.0,1.3283023499998308,1.3283023499998308,0.0,100.0,0.0,0.0,0.0,1.2992024000150195,0.0
chao,p4.3.c.txt,100,3,2,193.0,193.0,190.0,4.242640687119285,0.0819719000137411,0.0819719000137411,13.5,50.0,1.5544041450777202,3.1088082901554404,100,3,2,187.0,187.0,187.0,0.0,0.0797633500005758,0.0797633500005758,13.5,100.0,0.0,0.0,-3.0,-0.0022085500131653057,-1.5544041450777202
chao,p4.3.d.txt,100,3,2,335.0,335.0,328.5,9.192388155425116,0.1281968500115908,0.1281968500115908,17.0,50.0,1.9402985074626864,3.880597014925373,100,3,2,326.0,326.0,324.0,2.8284271247461903,0.1371060500005114,0.1371060500005114,8.5,50.0,0.6134969325153374,1.2269938650306749,-4.5,0.00890919998892059,-1.326801574947349
chao,p4.3.e.txt,100,3,2,460.0,460.0,460.0,0.0,0.1800775000010617,0.1800775000010617,7.0,100.0,0.0,0.0,100,3,2,460.0,460.0,451.5,12.020815280171307,0.1659300500004974,0.1659300500004974,1.0,50.0,1.8478260869565215,3.695652173913044,-8.5,-0.014147450000564304,1.8478260869565215
chao,p4.3.f.txt,100,3,2,559.0,559.0,537.0,31.11269837220809,0.2216409999527968,0.2216409999527968,19.5,50.0,3.9355992844364938,7.8711985688729875,100,3,2,544.0,544.0,540.5,4.949747468305833,0.1911347499999465,0.1911347499999465,18.0,50.0,0.6433823529411764,1.2867647058823528,3.5,-0.030506249952850284,-3.292216931495317
chao,p4.3.g.txt,100,3,2,622.0,622.0,602.0,28.284271247461906,0.2285581000032834,0.2285581000032834,13.5,50.0,3.215434083601286,6.430868167202572,100,3,2,600.0,600.0,594.5,7.7781745930520225,0.2175408499997502,0.2175408499997502,15.0,50.0,0.9166666666666666,1.8333333333333333,-7.5,-0.01101725000353318,-2.2987674169346195
chao,p4.3.h.txt,100,3,2,673.0,673.0,663.0,14.142135623730953,0.2721088999533094,0.2721088999533094,16.0,50.0,1.4858841010401187,2.9717682020802374,100,3,2,675.0,675.0,662.0,18.384776310850235,0.2367999999996755,0.2367999999996755,12.5,50.0,1.925925925925926,3.851851851851852,-1.0,-0.0353088999536339,0.44004182488580734
chao,p4.3.i.txt,100,3,2,774.0,774.0,769.5,6.363961030678928,0.3039676999324001,0.3039676999324001,7.0,50.0,0.5813953488372093,1.162790697674419,100,3,2,767.0,767.0,757.0,14.142135623730953,0.2556779000005917,0.2556779000005917,8.0,50.0,1.303780964797914,2.607561929595828,-12.5,-0.048289799931808375,0.7223856159607046
chao,p4.3.j.txt,100,3,2,833.0,833.0,819.5,19.091883092036785,0.3553857000079006,0.3553857000079006,5.5,50.0,1.6206482593037217,3.241296518607443,100,3,2,833.0,833.0,806.0,38.18376618407357,0.2685615999998845,0.2685615999998845,13.5,50.0,3.241296518607443,6.482593037214886,-13.5,-0.0868241000080161,1.6206482593037213
chao,p4.3.k.txt,100,3,2,878.0,878.0,855.5,31.81980515339464,0.3923755000578239,0.3923755000578239,7.5,50.0,2.562642369020501,5.125284738041002,100,3,2,872.0,872.0,854.5,24.748737341529164,0.2685324999993099,0.2685324999993099,11.5,50.0,2.0068807339449544,4.013761467889909,-1.0,-0.12384300005851401,-0.5557616350755468
chao,p4.3.l.txt,100,3,2,916.0,916.0,892.0,33.94112549695428,0.3639945999602787,0.3639945999602787,16.0,50.0,2.6200873362445414,5.240174672489083,100,3,2,910.0,910.0,886.5,33.23401871576773,0.3095753499992497,0.3095753499992497,9.0,50.0,2.582417582417582,5.164835164835164,-5.5,-0.05441924996102904,-0.03766975382695925
chao,p4.3.m.txt,100,3,2,962.0,962.0,941.5,28.991378028648448,0.389054000028409,0.389054000028409,14.0,50.0,2.130977130977131,4.261954261954262,100,3,2,996.0,996.0,939.0,80.61017305526642,0.3087421500003984,0.3087421500003984,15.5,50.0,5.72289156626506,11.44578313253012,-2.5,-0.08031185002801061,3.5919144352879293
chao,p4.3.n.txt,100,3,2,1056.0,1056.0,1039.5,23.33452377915607,0.4183632000349462,0.4183632000349462,16.0,50.0,1.5625,3.125,100,3,2,1030.0,1030.0,1023.0,9.899494936611664,0.3047531000001982,0.3047531000001982,14.5,50.0,0.6796116504854369,1.3592233009708738,-16.5,-0.11361010003474803,-0.8828883495145631
chao,p4.3.o.txt,100,3,2,1076.0,1076.0,1069.5,9.192388155425116,0.4060854000272229,0.4060854000272229,17.5,50.0,0.604089219330855,1.20817843866171,100,3,2,1089.0,1089.0,1050.0,55.15432893255071,0.3096677499997895,0.3096677499997895,16.5,50.0,3.581267217630854,7.162534435261708,-19.5,-0.09641765002743335,2.9771779982999993
chao,p4.3.p.txt,100,3,2,1155.0,1155.0,1139.5,21.920310216782973,0.426060999976471,0.426060999976471,20.0,50.0,1.341991341991342,2.683982683982684,100,3,2,1121.0,1121.0,1115.0,8.48528137423857,0.3279024499997831,0.3279024499997831,14.5,50.0,0.535236396074933,1.070472792149866,-24.5,-0.09815854997668794,-0.8067549459164091
chao,p4.3.q.txt,100,3,2,1169.0,1169.0,1164.0,7.071067811865476,0.4419232999789528,0.4419232999789528,18.5,50.0,0.427715996578272,0.8554319931565441,100,3,2,1164.0,1164.0,1139.5,34.64823227814083,0.3446210499996596,0.3446210499996596,20.0,50.0,2.104810996563574,4.209621993127148,-24.5,-0.09730224997929321,1.677094999985302
