dataset,num_instances_base,num_runs_base,mean_cpu_time_seconds_base,median_cpu_time_seconds_base,p90_cpu_time_seconds_base,mean_iterations_to_convergence_base,mean_gap_to_reference_best_percent_base,median_gap_to_reference_best_percent_base,p90_gap_to_reference_best_percent_base,success_rate_percent_base,score_mean_base,score_std_base,score_p10_base,score_p50_base,score_p90_base,mean_lp_solves_base,mean_labels_generated_base,num_instances_improved,num_runs_improved,mean_cpu_time_seconds_improved,median_cpu_time_seconds_improved,p90_cpu_time_seconds_improved,mean_iterations_to_convergence_improved,mean_gap_to_reference_best_percent_improved,median_gap_to_reference_best_percent_improved,p90_gap_to_reference_best_percent_improved,success_rate_percent_improved,score_mean_improved,score_std_improved,score_p10_improved,score_p50_improved,score_p90_improved,mean_lp_solves_improved,mean_labels_generated_improved,mean_cpu_time_seconds_pct_change,mean_gap_to_reference_best_percent_pct_change,success_rate_percent_pct_change,score_mean_pct_change,mean_lp_solves_pct_change,mean_labels_generated_pct_change
chao,240,240,1.8383514958336795,1.5241050500189883,4.7320537000196055,4.1125,0.0,0.0,0.0,100.0,440.69166666666666,368.6692748791096,0.0,400.0,1050.0,4.1125,513314.0291666667,240,480,6.420401611250175,4.972334550053347,16.921004900010303,12.414583333333333,0.0471356544362682,0.0,0.0,98.125,442.85833333333335,372.4998952422172,0.0,400.0,1060.0,12.414583333333333,1541651.9541666666,249.24777039651866,,-1.875,0.4916513813512892,201.8743667679838,200.3331034356186
dang,82,82,7.076187808543626,5.230973850004375,14.071414100006225,4.182926829268292,0.0,0.0,0.0,100.0,791.5487804878048,554.2751055683589,22.0,698.0,1488.0,4.182926829268292,3043809.7317073173,82,164,36.42605834207412,26.0486348499544,66.08891110005789,12.548780487804878,0.0,0.0,0.0,100.0,791.5487804878048,552.5722594379347,22.0,732.0,1488.0,12.548780487804878,9131452.134146342,414.7695246032637,,0.0,0.0,200.00000000000006,200.00075362872226
vansteenwegen,67,67,6.844207476120817,4.813208699924871,17.880158999934793,4.6716417910447765,0.0,0.0,0.0,100.0,818.6865671641791,538.1054365804447,24.0,732.0,1486.0,4.6716417910447765,3127494.7164179105,67,134,21.447205558957,15.060566500003915,53.683301700046286,14.014925373134329,0.0,0.0,0.0,100.0,818.6865671641791,536.07866690574,24.0,732.0,1488.0,14.014925373134329,9382512.223880596,213.36287851859387,,0.0,0.0,199.99999999999994,200.00089767144024
