iteration,lp_obj,n_routes,vehicle_dual,variant
1.0,18.0,9.0,8.0,basic
2.0,45.0,10.0,9.0,basic
3.0,45.0,11.0,9.0,basic
4.0,45.0,12.0,9.0,basic
5.0,45.0,13.0,9.0,basic
6.0,55.0,14.0,19.0,basic
7.0,55.0,15.0,19.0,basic
