dataset,num_instances,num_runs,mean_cpu_time_seconds,median_cpu_time_seconds,p90_cpu_time_seconds,mean_iterations_to_convergence,mean_gap_to_reference_best_percent,median_gap_to_reference_best_percent,p90_gap_to_reference_best_percent,success_rate_percent,score_mean,score_std,score_p10,score_p50,score_p90
chao,240,480,0.22521984270827414,0.12121775000014168,0.3493968999991921,8.220833333333333,1.101901064919036,0.0,4.116222760290557,66.66666666666666,635.2854166666667,462.3782712862433,0.0,645.0,1246.0
dang,82,164,2.6491528567072993,1.7160590499997852,7.693897500001185,14.457317073170731,2.0437998393883348,0.0,6.127450980392156,52.4390243902439,3834.7195121951218,3211.0837505987397,99.0,2848.0,8847.0
vansteenwegen,67,134,1.6145212373133548,1.3494001999997636,3.000130899999931,14.119402985074627,2.24460993829545,0.0,6.38611429507123,52.23880597014925,3444.5298507462685,2779.615748557442,96.0,2618.0,7355.0
