dataset,instance,score,gap_to_reference_best_percent
chao,p5.2.j.txt,550.0,0.9009009009009009
chao,p5.2.j.txt,555.0,0.0
chao,p5.2.k.txt,660.0,0.0
chao,p5.2.k.txt,640.0,3.0303030303030303
chao,p5.2.l.txt,710.0,7.792207792207792
chao,p5.2.l.txt,770.0,0.0
chao,p5.2.m.txt,800.0,3.614457831325301
chao,p5.2.m.txt,830.0,0.0
chao,p5.2.n.txt,890.0,0.0
chao,p5.2.n.txt,870.0,2.247191011235955
chao,p5.2.o.txt,965.0,2.030456852791878
chao,p5.2.o.txt,985.0,0.0
chao,p5.2.p.txt,1150.0,0.0
chao,p5.2.p.txt,1090.0,5.217391304347826
chao,p5.2.q.txt,1160.0,0.0
chao,p5.2.q.txt,1110.0,4.310344827586207
chao,p5.2.r.txt,1210.0,2.4193548387096775
chao,p5.2.r.txt,1240.0,0.0
chao,p5.2.s.txt,1300.0,1.8867924528301887
chao,p5.2.s.txt,1325.0,0.0
chao,p5.2.t.txt,1340.0,3.597122302158273
chao,p5.2.t.txt,1390.0,0.0
chao,p5.2.u.txt,1440.0,0.0
chao,p5.2.u.txt,1395.0,3.125
chao,p5.2.v.txt,1475.0,0.6734006734006733
chao,p5.2.v.txt,1485.0,0.0
chao,p5.2.w.txt,1525.0,0.0
chao,p5.2.w.txt,1520.0,0.32786885245901637
chao,p5.2.x.txt,1570.0,0.0
chao,p5.2.x.txt,1565.0,0.3184713375796179
chao,p5.2.y.txt,1620.0,0.0
chao,p5.2.y.txt,1610.0,0.6172839506172839
chao,p5.2.z.txt,1665.0,0.0
chao,p5.2.z.txt,1650.0,0.9009009009009009
chao,p5.3.a.txt,0.0,0.0
chao,p5.3.a.txt,0.0,0.0
chao,p5.3.b.txt,15.0,0.0
chao,p5.3.b.txt,15.0,0.0
chao,p5.3.c.txt,20.0,0.0
chao,p5.3.c.txt,20.0,0.0
chao,p5.3.d.txt,60.0,0.0
chao,p5.3.d.txt,60.0,0.0
chao,p5.3.e.txt,95.0,0.0
chao,p5.3.e.txt,95.0,0.0
chao,p5.3.f.txt,110.0,0.0
chao,p5.3.f.txt,110.0,0.0
chao,p5.3.g.txt,185.0,0.0
chao,p5.3.g.txt,185.0,0.0
chao,p5.3.h.txt,260.0,0.0
chao,p5.3.h.txt,260.0,0.0
chao,p5.3.i.txt,285.0,14.925373134328357
chao,p5.3.i.txt,335.0,0.0
chao,p5.3.j.txt,470.0,0.0
chao,p5.3.j.txt,430.0,8.51063829787234
chao,p5.3.k.txt,470.0,0.0
chao,p5.3.k.txt,470.0,0.0
chao,p5.3.l.txt,575.0,1.7094017094017095
chao,p5.3.l.txt,585.0,0.0
chao,p5.3.m.txt,645.0,0.7692307692307693
chao,p5.3.m.txt,650.0,0.0
chao,p5.3.n.txt,695.0,6.7114093959731544
chao,p5.3.n.txt,745.0,0.0
chao,p5.3.o.txt,835.0,0.0
chao,p5.3.o.txt,800.0,4.191616766467066
chao,p5.3.p.txt,990.0,0.0
chao,p5.3.p.txt,990.0,0.0
chao,p5.3.q.txt,1040.0,0.0
chao,p5.3.q.txt,1025.0,1.4423076923076923
chao,p5.3.r.txt,1090.0,1.8018018018018018
chao,p5.3.r.txt,1110.0,0.0
chao,p5.3.s.txt,1165.0,0.0
chao,p5.3.s.txt,1155.0,0.8583690987124464
chao,p5.3.t.txt,1235.0,1.593625498007968
chao,p5.3.t.txt,1255.0,0.0
chao,p5.3.u.txt,1345.0,0.0
chao,p5.3.u.txt,1335.0,0.7434944237918215
chao,p5.3.v.txt,1385.0,1.4234875444839856
chao,p5.3.v.txt,1405.0,0.0
chao,p5.3.w.txt,1415.0,3.0821917808219177
chao,p5.3.w.txt,1460.0,0.0
chao,p5.3.x.txt,1505.0,0.9868421052631579
chao,p5.3.x.txt,1520.0,0.0
chao,p5.3.y.txt,1570.0,0.0
chao,p5.3.y.txt,1530.0,2.547770700636943
chao,p5.3.z.txt,1615.0,0.0
chao,p5.3.z.txt,1585.0,1.8575851393188854
chao,p5.4.a.txt,0.0,0.0
chao,p5.4.a.txt,0.0,0.0
chao,p5.4.b.txt,0.0,0.0
chao,p5.4.b.txt,0.0,0.0
chao,p5.4.c.txt,20.0,0.0
chao,p5.4.c.txt,20.0,0.0
chao,p5.4.d.txt,20.0,0.0
chao,p5.4.d.txt,20.0,0.0
chao,p5.4.e.txt,20.0,0.0
chao,p5.4.e.txt,20.0,0.0
chao,p5.4.f.txt,80.0,0.0
chao,p5.4.f.txt,80.0,0.0
chao,p5.4.g.txt,140.0,0.0
chao,p5.4.g.txt,140.0,0.0
chao,p5.4.h.txt,140.0,0.0
chao,p5.4.h.txt,140.0,0.0
chao,p5.4.i.txt,240.0,0.0
chao,p5.4.i.txt,240.0,0.0
chao,p5.4.j.txt,340.0,0.0
chao,p5.4.j.txt,340.0,0.0
chao,p5.4.k.txt,340.0,0.0
chao,p5.4.k.txt,340.0,0.0
chao,p5.4.l.txt,430.0,0.0
chao,p5.4.l.txt,395.0,8.13953488372093
chao,p5.4.m.txt,555.0,0.0
chao,p5.4.m.txt,490.0,11.711711711711711
chao,p5.4.n.txt,620.0,0.0
chao,p5.4.n.txt,620.0,0.0
chao,p5.4.o.txt,670.0,0.0
chao,p5.4.o.txt,670.0,0.0
chao,p5.4.p.txt,760.0,0.0
chao,p5.4.p.txt,760.0,0.0
chao,p5.4.q.txt,805.0,4.733727810650888
chao,p5.4.q.txt,845.0,0.0
chao,p5.4.r.txt,880.0,2.7624309392265194
chao,p5.4.r.txt,905.0,0.0
chao,p5.4.s.txt,1000.0,0.0
chao,p5.4.s.txt,980.0,2.0
chao,p5.4.t.txt,1095.0,0.0
chao,p5.4.t.txt,1070.0,2.28310502283105
chao,p5.4.u.txt,1195.0,0.4166666666666667
chao,p5.4.u.txt,1200.0,0.0
chao,p5.4.v.txt,1270.0,1.1673151750972763
chao,p5.4.v.txt,1285.0,0.0
chao,p5.4.w.txt,1365.0,0.0
chao,p5.4.w.txt,1345.0,1.465201465201465
chao,p5.4.x.txt,1370.0,2.142857142857143
chao,p5.4.x.txt,1400.0,0.0
chao,p5.4.y.txt,1485.0,1.0
chao,p5.4.y.txt,1500.0,0.0
chao,p5.4.z.txt,1510.0,3.205128205128205
chao,p5.4.z.txt,1560.0,0.0
chao,p6.2.a.txt,0.0,0.0
chao,p6.2.a.txt,0.0,0.0
chao,p6.2.b.txt,0.0,0.0
chao,p6.2.b.txt,0.0,0.0
chao,p6.2.c.txt,0.0,0.0
chao,p6.2.c.txt,0.0,0.0
chao,p6.2.d.txt,192.0,0.0
chao,p6.2.d.txt,192.0,0.0
chao,p6.2.e.txt,360.0,0.0
chao,p6.2.e.txt,360.0,0.0
chao,p6.2.f.txt,588.0,0.0
chao,p6.2.f.txt,540.0,8.16326530612245
chao,p6.2.g.txt,624.0,0.9523809523809524
chao,p6.2.g.txt,630.0,0.0
chao,p6.2.h.txt,774.0,0.0
chao,p6.2.h.txt,738.0,4.651162790697675
chao,p6.2.i.txt,882.0,0.6756756756756757
chao,p6.2.i.txt,888.0,0.0
chao,p6.2.j.txt,924.0,1.282051282051282
chao,p6.2.j.txt,936.0,0.0
chao,p6.2.k.txt,1032.0,0.0
chao,p6.2.k.txt,1032.0,0.0
chao,p6.2.l.txt,1110.0,0.0
chao,p6.2.l.txt,1110.0,0.0
chao,p6.2.m.txt,1152.0,3.0303030303030303
chao,p6.2.m.txt,1188.0,0.0
chao,p6.2.n.txt,1242.0,0.4807692307692308
chao,p6.2.n.txt,1248.0,0.0
chao,p6.3.a.txt,0.0,0.0
chao,p6.3.a.txt,0.0,0.0
chao,p6.3.b.txt,0.0,0.0
chao,p6.3.b.txt,0.0,0.0
chao,p6.3.c.txt,0.0,0.0
chao,p6.3.c.txt,0.0,0.0
chao,p6.3.d.txt,0.0,0.0
chao,p6.3.d.txt,0.0,0.0
chao,p6.3.e.txt,0.0,0.0
chao,p6.3.e.txt,0.0,0.0
chao,p6.3.f.txt,0.0,0.0
chao,p6.3.f.txt,0.0,0.0
chao,p6.3.g.txt,276.0,0.0
chao,p6.3.g.txt,276.0,0.0
chao,p6.3.h.txt,438.0,1.3513513513513513
