dataset,instance,num_nodes,team_size,runs,reference_best_score,best_score,mean_score,std_score,mean_cpu_time_seconds,median_cpu_time_seconds,mean_iterations_to_convergence,success_rate_percent,mean_gap_to_reference_best_percent,max_gap_to_reference_best_percent
chao,p5.4.o.txt,66,4,2,670.0,670.0,670.0,0.0,0.11423665000074834,0.11423665000074834,1.5,100.0,0.0,0.0
chao,p5.4.p.txt,66,4,2,760.0,760.0,760.0,0.0,0.10401015000024927,0.10401015000024927,3.0,100.0,0.0,0.0
chao,p5.4.q.txt,66,4,2,845.0,845.0,825.0,28.284271247461902,0.14313235000008717,0.14313235000008717,9.5,50.0,2.366863905325444,4.733727810650888
chao,p5.4.r.txt,66,4,2,905.0,905.0,892.5,17.67766952966369,0.17727840000043216,0.17727840000043216,9.0,50.0,1.3812154696132597,2.7624309392265194
chao,p5.4.s.txt,66,4,2,1000.0,1000.0,990.0,14.142135623730951,0.6289593000001332,0.6289593000001332,17.5,50.0,1.0,2.0
chao,p5.4.t.txt,66,4,2,1095.0,1095.0,1082.5,17.67766952966369,0.18987969999943743,0.18987969999943743,4.0,50.0,1.141552511415525,2.28310502283105
chao,p5.4.u.txt,66,4,2,1200.0,1200.0,1197.5,3.5355339059327378,0.8381741499997588,0.8381741499997588,20.0,50.0,0.20833333333333334,0.4166666666666667
chao,p5.4.v.txt,66,4,2,1285.0,1285.0,1277.5,10.606601717798213,1.5544332500003293,1.5544332500003293,18.5,50.0,0.5836575875486382,1.1673151750972763
chao,p5.4.w.txt,66,4,2,1365.0,1365.0,1355.0,14.142135623730951,0.26742929999909393,0.26742929999909393,3.0,50.0,0.7326007326007326,1.465201465201465
chao,p5.4.x.txt,66,4,2,1400.0,1400.0,1385.0,21.213203435596427,0.19068980000065494,0.19068980000065494,3.0,50.0,1.0714285714285714,2.142857142857143
chao,p5.4.y.txt,66,4,2,1500.0,1500.0,1492.5,10.606601717798213,1.4920904499995231,1.4920904499995231,9.5,50.0,0.5,1.0
chao,p5.4.z.txt,66,4,2,1560.0,1560.0,1535.0,35.35533905932738,1.4328279000001203,1.4328279000001203,6.5,50.0,1.6025641025641024,3.205128205128205
chao,p6.2.a.txt,64,2,2,0.0,0.0,0.0,0.0,0.004119799999898532,0.004119799999898532,0.0,100.0,0.0,0.0
chao,p6.2.b.txt,64,2,2,0.0,0.0,0.0,0.0,0.003995799999756855,0.003995799999756855,0.0,100.0,0.0,0.0
chao,p6.2.c.txt,64,2,2,0.0,0.0,0.0,0.0,0.003851250000479922,0.003851250000479922,0.0,100.0,0.0,0.0
chao,p6.2.d.txt,64,2,2,192.0,192.0,192.0,0.0,0.04366509999999835,0.04366509999999835,1.0,100.0,0.0,0.0
chao,p6.2.e.txt,64,2,2,360.0,360.0,360.0,0.0,0.07401855000080104,0.07401855000080104,0.0,100.0,0.0,0.0
chao,p6.2.f.txt,64,2,2,588.0,588.0,564.0,33.94112549695428,0.09595479999916279,0.09595479999916279,16.5,50.0,4.081632653061225,8.16326530612245
chao,p6.2.g.txt,64,2,2,630.0,630.0,627.0,4.242640687119285,0.07806305000030989,0.07806305000030989,7.0,50.0,0.4761904761904762,0.9523809523809524
chao,p6.2.h.txt,64,2,2,774.0,774.0,756.0,25.45584412271571,0.0844127500004106,0.0844127500004106,18.0,50.0,2.3255813953488373,4.651162790697675
chao,p6.2.i.txt,64,2,2,888.0,888.0,885.0,4.242640687119285,0.0847110500008057,0.0847110500008057,10.5,50.0,0.33783783783783783,0.6756756756756757
chao,p6.2.j.txt,64,2,2,936.0,936.0,930.0,8.48528137423857,0.09919349999927363,0.09919349999927363,17.0,50.0,0.641025641025641,1.282051282051282
