dataset,num_instances,num_runs,mean_cpu_time_seconds,median_cpu_time_seconds,p90_cpu_time_seconds,mean_iterations_to_convergence,mean_gap_to_reference_best_percent,median_gap_to_reference_best_percent,p90_gap_to_reference_best_percent,success_rate_percent,score_mean,score_std,score_p10,score_p50,score_p90
chao,240,480,0.17742380708271716,0.13444689998868853,0.4164720999542624,8.804166666666667,1.119190635307835,0.0,3.896103896103896,66.04166666666667,635.4,461.7893563123129,0.0,649.0,1239.0
dang,82,164,6.507334147556543,5.731761450006161,15.164829100016505,14.859756097560975,1.9076765117170535,0.0,6.583969465648855,53.65853658536586,3898.9634146341464,3279.26031965321,101.0,2930.0,9225.0
vansteenwegen,67,134,2.758124463430453,2.493883849994745,5.441643300000578,14.798507462686567,1.9435373601104569,0.0,6.422443774634826,54.47761194029851,3498.5746268656717,2834.632811952808,97.0,2599.0,7355.0
