dataset,instance,score,gap_to_reference_best_percent
chao,p5.2.j.txt,555.0,0.0
chao,p5.2.j.txt,555.0,0.0
chao,p5.2.k.txt,660.0,0.0
chao,p5.2.k.txt,640.0,3.0303030303030303
chao,p5.2.l.txt,750.0,2.5974025974025974
chao,p5.2.l.txt,770.0,0.0
chao,p5.2.m.txt,800.0,4.191616766467066
chao,p5.2.m.txt,835.0,0.0
chao,p5.2.n.txt,900.0,0.0
chao,p5.2.n.txt,865.0,3.888888888888889
chao,p5.2.o.txt,940.0,5.527638190954774
chao,p5.2.o.txt,995.0,0.0
chao,p5.2.p.txt,1150.0,0.0
chao,p5.2.p.txt,1060.0,7.82608695652174
chao,p5.2.q.txt,1140.0,0.0
chao,p5.2.q.txt,1125.0,1.3157894736842104
chao,p5.2.r.txt,1250.0,0.0
chao,p5.2.r.txt,1245.0,0.4
chao,p5.2.s.txt,1295.0,1.1450381679389312
chao,p5.2.s.txt,1310.0,0.0
chao,p5.2.t.txt,1335.0,3.9568345323741005
chao,p5.2.t.txt,1390.0,0.0
chao,p5.2.u.txt,1460.0,0.0
chao,p5.2.u.txt,1430.0,2.054794520547945
chao,p5.2.v.txt,1475.0,0.0
chao,p5.2.v.txt,1465.0,0.6779661016949152
chao,p5.2.w.txt,1540.0,0.0
chao,p5.2.w.txt,1520.0,1.2987012987012987
chao,p5.2.x.txt,1590.0,0.0
chao,p5.2.x.txt,1565.0,1.5723270440251573
chao,p5.2.y.txt,1625.0,0.0
chao,p5.2.y.txt,1615.0,0.6153846153846154
chao,p5.2.z.txt,1665.0,0.0
chao,p5.2.z.txt,1650.0,0.9009009009009009
chao,p5.3.a.txt,0.0,0.0
chao,p5.3.a.txt,0.0,0.0
chao,p5.3.b.txt,15.0,0.0
chao,p5.3.b.txt,15.0,0.0
chao,p5.3.c.txt,20.0,0.0
chao,p5.3.c.txt,20.0,0.0
chao,p5.3.d.txt,60.0,0.0
chao,p5.3.d.txt,60.0,0.0
chao,p5.3.e.txt,95.0,0.0
chao,p5.3.e.txt,95.0,0.0
chao,p5.3.f.txt,110.0,0.0
chao,p5.3.f.txt,110.0,0.0
chao,p5.3.g.txt,185.0,0.0
chao,p5.3.g.txt,185.0,0.0
chao,p5.3.h.txt,260.0,0.0
chao,p5.3.h.txt,260.0,0.0
chao,p5.3.i.txt,335.0,0.0
chao,p5.3.i.txt,335.0,0.0
chao,p5.3.j.txt,470.0,0.0
chao,p5.3.j.txt,430.0,8.51063829787234
chao,p5.3.k.txt,485.0,0.0
chao,p5.3.k.txt,470.0,3.0927835051546393
chao,p5.3.l.txt,575.0,1.7094017094017095
chao,p5.3.l.txt,585.0,0.0
chao,p5.3.m.txt,645.0,0.7692307692307693
chao,p5.3.m.txt,650.0,0.0
chao,p5.3.n.txt,710.0,3.4013605442176873
chao,p5.3.n.txt,735.0,0.0
chao,p5.3.o.txt,820.0,0.0
chao,p5.3.o.txt,820.0,0.0
chao,p5.3.p.txt,990.0,0.0
chao,p5.3.p.txt,940.0,5.05050505050505
chao,p5.3.q.txt,1055.0,0.0
chao,p5.3.q.txt,1035.0,1.8957345971563981
chao,p5.3.r.txt,1100.0,0.9009009009009009
chao,p5.3.r.txt,1110.0,0.0
chao,p5.3.s.txt,1110.0,3.896103896103896
chao,p5.3.s.txt,1155.0,0.0
chao,p5.3.t.txt,1235.0,1.593625498007968
chao,p5.3.t.txt,1255.0,0.0
chao,p5.3.u.txt,1305.0,2.247191011235955
chao,p5.3.u.txt,1335.0,0.0
chao,p5.3.v.txt,1385.0,0.3597122302158274
chao,p5.3.v.txt,1390.0,0.0
chao,p5.3.w.txt,1370.0,4.861111111111112
chao,p5.3.w.txt,1440.0,0.0
chao,p5.3.x.txt,1525.0,0.0
chao,p5.3.x.txt,1485.0,2.622950819672131
chao,p5.3.y.txt,1565.0,0.0
chao,p5.3.y.txt,1555.0,0.6389776357827476
chao,p5.3.z.txt,1610.0,0.0
chao,p5.3.z.txt,1585.0,1.5527950310559007
chao,p5.4.a.txt,0.0,0.0
chao,p5.4.a.txt,0.0,0.0
chao,p5.4.b.txt,0.0,0.0
chao,p5.4.b.txt,0.0,0.0
chao,p5.4.c.txt,20.0,0.0
chao,p5.4.c.txt,20.0,0.0
chao,p5.4.d.txt,20.0,0.0
chao,p5.4.d.txt,20.0,0.0
chao,p5.4.e.txt,20.0,0.0
chao,p5.4.e.txt,20.0,0.0
chao,p5.4.f.txt,80.0,0.0
chao,p5.4.f.txt,80.0,0.0
chao,p5.4.g.txt,140.0,0.0
chao,p5.4.g.txt,140.0,0.0
chao,p5.4.h.txt,140.0,0.0
chao,p5.4.h.txt,140.0,0.0
chao,p5.4.i.txt,240.0,0.0
chao,p5.4.i.txt,240.0,0.0
chao,p5.4.j.txt,340.0,0.0
chao,p5.4.j.txt,340.0,0.0
chao,p5.4.k.txt,340.0,0.0
chao,p5.4.k.txt,340.0,0.0
chao,p5.4.l.txt,425.0,0.0
chao,p5.4.l.txt,395.0,7.0588235294117645
chao,p5.4.m.txt,550.0,0.0
chao,p5.4.m.txt,480.0,12.727272727272727
chao,p5.4.n.txt,600.0,3.225806451612903
chao,p5.4.n.txt,620.0,0.0
chao,p5.4.o.txt,655.0,0.0
chao,p5.4.o.txt,640.0,2.2900763358778624
chao,p5.4.p.txt,760.0,0.0
chao,p5.4.p.txt,760.0,0.0
chao,p5.4.q.txt,830.0,3.488372093023256
chao,p5.4.q.txt,860.0,0.0
chao,p5.4.r.txt,870.0,2.247191011235955
chao,p5.4.r.txt,890.0,0.0
chao,p5.4.s.txt,1005.0,0.0
chao,p5.4.s.txt,1000.0,0.4975124378109453
