dataset,instance,num_nodes,team_size,runs,reference_best_score,best_score,mean_score,std_score,mean_cpu_time_seconds,median_cpu_time_seconds,mean_iterations_to_convergence,success_rate_percent,mean_gap_to_reference_best_percent,max_gap_to_reference_best_percent
chao,p4.2.a.txt,100,2,2,194.0,194.0,194.0,0.0,0.06923475000075996,0.06923475000075996,1.5,100.0,0.0,0.0
chao,p4.2.b.txt,100,2,2,321.0,321.0,321.0,0.0,0.08792939997510985,0.08792939997510985,13.0,100.0,0.0,0.0
chao,p4.2.c.txt,100,2,2,432.0,432.0,411.0,29.698484809834994,0.12199510005302727,0.12199510005302727,9.5,50.0,4.861111111111112,9.722222222222223
chao,p4.2.d.txt,100,2,2,518.0,518.0,506.0,16.97056274847714,0.1744318999699317,0.1744318999699317,16.5,50.0,2.3166023166023164,4.633204633204633
chao,p4.2.e.txt,100,2,2,606.0,606.0,601.0,7.0710678118654755,0.2591917999670841,0.2591917999670841,8.0,50.0,0.825082508250825,1.65016501650165
chao,p4.2.f.txt,100,2,2,654.0,654.0,651.5,3.5355339059327378,0.23184764996403828,0.23184764996403828,18.0,50.0,0.382262996941896,0.764525993883792
chao,p4.2.g.txt,100,2,2,721.0,721.0,718.5,3.5355339059327378,0.2803253500023857,0.2803253500023857,11.5,50.0,0.34674063800277394,0.6934812760055479
chao,p4.2.h.txt,100,2,2,771.0,771.0,764.5,9.192388155425117,0.31474775000242516,0.31474775000242516,11.0,50.0,0.8430609597924773,1.6861219195849546
chao,p4.2.i.txt,100,2,2,840.0,840.0,820.0,28.284271247461902,0.32042514998465776,0.32042514998465776,9.5,50.0,2.380952380952381,4.761904761904762
chao,p4.2.j.txt,100,2,2,896.0,896.0,889.0,9.899494936611665,0.38093570002820343,0.38093570002820343,10.5,50.0,0.78125,1.5625
chao,p4.2.k.txt,100,2,2,951.0,951.0,938.0,18.384776310850235,0.4145200499915518,0.4145200499915518,5.5,50.0,1.3669821240799158,2.7339642481598316
chao,p4.2.l.txt,100,2,2,1009.0,1009.0,1002.5,9.192388155425117,0.43718760000774637,0.43718760000774637,12.0,50.0,0.6442021803766105,1.288404360753221
chao,p4.2.m.txt,100,2,2,1083.0,1083.0,1078.0,7.0710678118654755,0.4198682499700226,0.4198682499700226,17.5,50.0,0.46168051708217916,0.9233610341643583
chao,p4.2.n.txt,100,2,2,1103.0,1103.0,1084.5,26.16295090390226,0.4071010500192642,0.4071010500192642,18.0,50.0,1.6772438803263827,3.3544877606527654
chao,p4.2.o.txt,100,2,2,1149.0,1149.0,1142.0,9.899494936611665,0.4922339000040665,0.4922339000040665,15.5,50.0,0.6092254134029591,1.2184508268059182
chao,p4.2.p.txt,100,2,2,1178.0,1178.0,1174.0,5.656854249492381,0.44441145000746474,0.44441145000746474,16.5,50.0,0.3395585738539898,0.6791171477079796
chao,p4.2.q.txt,100,2,2,1206.0,1206.0,1199.0,9.899494936611665,0.43904450006084517,0.43904450006084517,12.5,50.0,0.5804311774461027,1.1608623548922055
chao,p4.2.r.txt,100,2,2,1205.0,1205.0,1200.0,7.0710678118654755,0.5135367499897256,0.5135367499897256,18.0,50.0,0.4149377593360996,0.8298755186721992
chao,p4.2.s.txt,100,2,2,1276.0,1276.0,1262.0,19.79898987322333,0.5409909000736661,0.5409909000736661,9.0,50.0,1.09717868338558,2.19435736677116
chao,p4.2.t.txt,100,2,2,1295.0,1295.0,1289.5,7.7781745930520225,0.5048582499730401,0.5048582499730401,12.0,50.0,0.42471042471042475,0.8494208494208495
chao,p4.3.a.txt,100,3,2,0.0,0.0,0.0,0.0,0.011785399983637035,0.011785399983637035,0.0,100.0,0.0,0.0
chao,p4.3.b.txt,100,3,2,38.0,38.0,38.0,0.0,0.029099949984811246,0.029099949984811246,0.0,100.0,0.0,0.0
chao,p4.3.c.txt,100,3,2,193.0,193.0,190.0,4.242640687119285,0.0819719000137411,0.0819719000137411,13.5,50.0,1.5544041450777202,3.1088082901554404
chao,p4.3.d.txt,100,3,2,335.0,335.0,328.5,9.192388155425117,0.12819685001159087,0.12819685001159087,17.0,50.0,1.9402985074626864,3.880597014925373
chao,p4.3.e.txt,100,3,2,460.0,460.0,460.0,0.0,0.1800775000010617,0.1800775000010617,7.0,100.0,0.0,0.0
chao,p4.3.f.txt,100,3,2,559.0,559.0,537.0,31.11269837220809,0.22164099995279685,0.22164099995279685,19.5,50.0,3.9355992844364938,7.8711985688729875
chao,p4.3.g.txt,100,3,2,622.0,622.0,602.0,28.284271247461902,0.22855810000328347,0.22855810000328347,13.5,50.0,3.215434083601286,6.430868167202572
chao,p4.3.h.txt,100,3,2,673.0,673.0,663.0,14.142135623730951,0.27210889995330945,0.27210889995330945,16.0,50.0,1.4858841010401187,2.9717682020802374
chao,p4.3.i.txt,100,3,2,774.0,774.0,769.5,6.363961030678928,0.30396769993240014,0.30396769993240014,7.0,50.0,0.5813953488372093,1.1627906976744187
chao,p4.3.j.txt,100,3,2,833.0,833.0,819.5,19.091883092036785,0.3553857000079006,0.3553857000079006,5.5,50.0,1.6206482593037215,3.241296518607443
chao,p4.3.k.txt,100,3,2,878.0,878.0,855.5,31.81980515339464,0.39237550005782396,0.39237550005782396,7.5,50.0,2.562642369020501,5.125284738041002
chao,p4.3.l.txt,100,3,2,916.0,916.0,892.0,33.94112549695428,0.3639945999602787,0.3639945999602787,16.0,50.0,2.6200873362445414,5.240174672489083
chao,p4.3.m.txt,100,3,2,962.0,962.0,941.5,28.991378028648448,0.38905400002840906,0.38905400002840906,14.0,50.0,2.130977130977131,4.261954261954262
chao,p4.3.n.txt,100,3,2,1056.0,1056.0,1039.5,23.33452377915607,0.4183632000349462,0.4183632000349462,16.0,50.0,1.5625,3.125
chao,p4.3.o.txt,100,3,2,1076.0,1076.0,1069.5,9.192388155425117,0.40608540002722293,0.40608540002722293,17.5,50.0,0.604089219330855,1.20817843866171
chao,p4.3.p.txt,100,3,2,1155.0,1155.0,1139.5,21.920310216782973,0.42606099997647107,0.42606099997647107,20.0,50.0,1.341991341991342,2.683982683982684
chao,p4.3.q.txt,100,3,2,1169.0,1169.0,1164.0,7.0710678118654755,0.44192329997895285,0.44192329997895285,18.5,50.0,0.42771599657827203,0.8554319931565441
chao,p4.3.r.txt,100,3,2,1175.0,1175.0,1165.0,14.142135623730951,0.4337631000089459,0.4337631000089459,12.0,50.0,0.851063829787234,1.702127659574468
chao,p4.3.s.txt,100,3,2,1239.0,1239.0,1228.5,14.849242404917497,0.500598450016696,0.500598450016696,14.0,50.0,0.847457627118644,1.694915254237288
chao,p4.3.t.txt,100,3,2,1271.0,1271.0,1261.0,14.142135623730951,0.6333029000088573,0.6333029000088573,16.5,50.0,0.7867820613690008,1.5735641227380015
chao,p4.4.a.txt,100,4,2,0.0,0.0,0.0,0.0,0.017138800059910864,0.017138800059910864,0.0,100.0,0.0,0.0
chao,p4.4.b.txt,100,4,2,0.0,0.0,0.0,0.0,0.01526575000025332,0.01526575000025332,0.0,100.0,0.0,0.0
chao,p4.4.c.txt,100,4,2,0.0,0.0,0.0,0.0,0.012682400003541261,0.012682400003541261,0.0,100.0,0.0,0.0
chao,p4.4.d.txt,100,4,2,38.0,38.0,38.0,0.0,0.04167720000259578,0.04167720000259578,0.0,100.0,0.0,0.0
chao,p4.4.e.txt,100,4,2,182.0,182.0,182.0,0.0,0.09878280002158135,0.09878280002158135,10.5,100.0,0.0,0.0
chao,p4.4.f.txt,100,4,2,315.0,315.0,312.0,4.242640687119285,0.2224123000050895,0.2224123000050895,14.5,50.0,0.9523809523809524,1.9047619047619049
chao,p4.4.g.txt,100,4,2,444.0,444.0,438.5,7.7781745930520225,0.2005915500340052,0.2005915500340052,15.0,50.0,1.2387387387387387,2.4774774774774775
chao,p4.4.h.txt,100,4,2,522.0,522.0,519.0,4.242640687119285,0.22509309998713434,0.22509309998713434,3.5,50.0,0.5747126436781609,1.1494252873563218
chao,p4.4.i.txt,100,4,2,636.0,636.0,630.5,7.7781745930520225,0.2890740499715321,0.2890740499715321,12.5,50.0,0.8647798742138365,1.729559748427673
chao,p4.4.j.txt,100,4,2,702.0,702.0,685.5,23.33452377915607,0.2976284999749623,0.2976284999749623,15.0,50.0,2.3504273504273505,4.700854700854701
chao,p4.4.k.txt,100,4,2,748.0,748.0,744.5,4.949747468305833,0.3587614999851212,0.3587614999851212,18.5,50.0,0.4679144385026738,0.9358288770053476
chao,p4.4.l.txt,100,4,2,836.0,836.0,796.0,56.568542494923804,0.3659735999535769,0.3659735999535769,6.5,50.0,4.784688995215311,9.569377990430622
chao,p4.4.m.txt,100,4,2,896.0,896.0,871.0,35.35533905932738,0.40710444998694584,0.40710444998694584,18.0,50.0,2.7901785714285716,5.580357142857143
chao,p4.4.n.txt,100,4,2,928.0,928.0,914.0,19.79898987322333,0.4221605000202544,0.4221605000202544,16.5,50.0,1.5086206896551724,3.0172413793103448
chao,p4.4.o.txt,100,4,2,972.0,972.0,972.0,0.0,0.4415632499731146,0.4415632499731146,11.0,100.0,0.0,0.0
chao,p4.4.p.txt,100,4,2,1009.0,1009.0,972.5,51.61879502661797,0.406233899993822,0.406233899993822,12.0,50.0,3.617443012884044,7.234886025768088
chao,p4.4.q.txt,100,4,2,1051.0,1051.0,1031.0,28.284271247461902,0.4420593499671668,0.4420593499671668,16.5,50.0,1.9029495718363463,3.8058991436726926
chao,p4.4.r.txt,100,4,2,1126.0,1126.0,1124.5,2.1213203435596424,0.4513217000057921,0.4513217000057921,18.0,50.0,0.13321492007104796,0.2664298401420959
chao,p4.4.s.txt,100,4,2,1180.0,1180.0,1135.5,62.932503525602726,0.4528376000234857,0.4528376000234857,9.0,50.0,3.7711864406779663,7.5423728813559325
chao,p4.4.t.txt,100,4,2,1256.0,1256.0,1232.0,33.94112549695428,0.4508043500245549,0.4508043500245549,18.0,50.0,1.910828025477707,3.821656050955414
chao,p5.2.a.txt,66,2,2,0.0,0.0,0.0,0.0,0.006576100015081465,0.006576100015081465,0.0,100.0,0.0,0.0
chao,p5.2.b.txt,66,2,2,20.0,20.0,20.0,0.0,0.022832200047560036,0.022832200047560036,0.0,100.0,0.0,0.0
chao,p5.2.c.txt,66,2,2,50.0,50.0,50.0,0.0,0.03035189997171983,0.03035189997171983,9.0,100.0,0.0,0.0
chao,p5.2.d.txt,66,2,2,80.0,80.0,80.0,0.0,0.05176289996597916,0.05176289996597916,1.0,100.0,0.0,0.0
chao,p5.2.e.txt,66,2,2,180.0,180.0,177.5,3.5355339059327378,0.04947690002154559,0.04947690002154559,4.5,50.0,1.3888888888888888,2.7777777777777777
chao,p5.2.f.txt,66,2,2,240.0,240.0,227.5,17.67766952966369,0.03731719998177141,0.03731719998177141,4.0,50.0,5.208333333333334,10.416666666666668
chao,p5.2.g.txt,66,2,2,320.0,320.0,320.0,0.0,0.05046714999480173,0.05046714999480173,1.5,100.0,0.0,0.0
chao,p5.2.h.txt,66,2,2,390.0,390.0,387.5,3.5355339059327378,0.05576499999733642,0.05576499999733642,2.0,50.0,0.641025641025641,1.282051282051282
chao,p5.2.i.txt,66,2,2,460.0,460.0,457.5,3.5355339059327378,0.06563399999868125,0.06563399999868125,6.5,50.0,0.5434782608695652,1.0869565217391304
chao,p5.2.j.txt,66,2,2,555.0,555.0,555.0,0.0,0.0708107499522157,0.0708107499522157,7.5,100.0,0.0,0.0
chao,p5.2.k.txt,66,2,2,660.0,660.0,650.0,14.142135623730951,0.08394789998419583,0.08394789998419583,9.5,50.0,1.5151515151515151,3.0303030303030303
chao,p5.2.l.txt,66,2,2,770.0,770.0,760.0,14.142135623730951,0.10509570001158863,0.10509570001158863,12.0,50.0,1.2987012987012987,2.5974025974025974
chao,p5.2.m.txt,66,2,2,835.0,835.0,817.5,24.748737341529164,0.10196820000419393,0.10196820000419393,5.5,50.0,2.095808383233533,4.191616766467066
chao,p5.2.n.txt,66,2,2,900.0,900.0,882.5,24.748737341529164,0.10225784999784082,0.10225784999784082,10.5,50.0,1.9444444444444444,3.888888888888889
chao,p5.2.o.txt,66,2,2,995.0,995.0,967.5,38.890872965260115,0.11969650007085875,0.11969650007085875,14.5,50.0,2.763819095477387,5.527638190954774
chao,p5.2.p.txt,66,2,2,1150.0,1150.0,1105.0,63.63961030678928,0.1358858000021428,0.1358858000021428,10.0,50.0,3.91304347826087,7.82608695652174
chao,p5.2.q.txt,66,2,2,1140.0,1140.0,1132.5,10.606601717798213,0.1577073999796994,0.1577073999796994,8.5,50.0,0.6578947368421052,1.3157894736842104
chao,p5.2.r.txt,66,2,2,1250.0,1250.0,1247.5,3.5355339059327378,0.13737569999648258,0.13737569999648258,13.5,50.0,0.2,0.4
chao,p5.2.s.txt,66,2,2,1310.0,1310.0,1302.5,10.606601717798213,0.12183514994103462,0.12183514994103462,16.0,50.0,0.5725190839694656,1.1450381679389312
chao,p5.2.t.txt,66,2,2,1390.0,1390.0,1362.5,38.890872965260115,0.1346662999712862,0.1346662999712862,10.0,50.0,1.9784172661870503,3.9568345323741005
chao,p5.2.u.txt,66,2,2,1460.0,1460.0,1445.0,21.213203435596427,0.14241299993591383,0.14241299993591383,18.0,50.0,1.0273972602739725,2.054794520547945
chao,p5.2.v.txt,66,2,2,1475.0,1475.0,1470.0,7.0710678118654755,0.142160750052426,0.142160750052426,9.0,50.0,0.3389830508474576,0.6779661016949152
chao,p5.2.w.txt,66,2,2,1540.0,1540.0,1530.0,14.142135623730951,0.14390879997517914,0.14390879997517914,17.5,50.0,0.6493506493506493,1.2987012987012987
chao,p5.2.x.txt,66,2,2,1590.0,1590.0,1577.5,17.67766952966369,0.1410788000212051,0.1410788000212051,10.0,50.0,0.7861635220125787,1.5723270440251573
chao,p5.2.y.txt,66,2,2,1625.0,1625.0,1620.0,7.0710678118654755,0.15296174999093637,0.15296174999093637,9.5,50.0,0.3076923076923077,0.6153846153846154
chao,p5.2.z.txt,66,2,2,1665.0,1665.0,1657.5,10.606601717798213,0.13832949998322874,0.13832949998322874,7.0,50.0,0.45045045045045046,0.9009009009009009
chao,p5.3.a.txt,66,3,2,0.0,0.0,0.0,0.0,0.006939999992027879,0.006939999992027879,0.0,100.0,0.0,0.0
chao,p5.3.b.txt,66,3,2,15.0,15.0,15.0,0.0,0.018451099982485175,0.018451099982485175,0.0,100.0,0.0,0.0
chao,p5.3.c.txt,66,3,2,20.0,20.0,20.0,0.0,0.024006350024137646,0.024006350024137646,0.0,100.0,0.0,0.0
chao,p5.3.d.txt,66,3,2,60.0,60.0,60.0,0.0,0.02949580003041774,0.02949580003041774,0.0,100.0,0.0,0.0
chao,p5.3.e.txt,66,3,2,95.0,95.0,95.0,0.0,0.0354321000049822,0.0354321000049822,3.5,100.0,0.0,0.0
chao,p5.3.f.txt,66,3,2,110.0,110.0,110.0,0.0,0.039135899976827204,0.039135899976827204,0.0,100.0,0.0,0.0
chao,p5.3.g.txt,66,3,2,185.0,185.0,185.0,0.0,0.042359599960036576,0.042359599960036576,3.5,100.0,0.0,0.0
chao,p5.3.h.txt,66,3,2,260.0,260.0,260.0,0.0,0.05833550001261756,0.05833550001261756,3.5,100.0,0.0,0.0
chao,p5.3.i.txt,66,3,2,335.0,335.0,335.0,0.0,0.11261144996387884,0.11261144996387884,4.5,100.0,0.0,0.0
chao,p5.3.j.txt,66,3,2,470.0,470.0,450.0,28.284271247461902,0.07368410000344738,0.07368410000344738,2.5,50.0,4.25531914893617,8.51063829787234
chao,p5.3.k.txt,66,3,2,485.0,485.0,477.5,10.606601717798213,0.07864904997404665,0.07864904997404665,6.5,50.0,1.5463917525773196,3.0927835051546393
chao,p5.3.l.txt,66,3,2,585.0,585.0,580.0,7.0710678118654755,0.08940570004051551,0.08940570004051551,1.0,50.0,0.8547008547008548,1.7094017094017095
chao,p5.3.m.txt,66,3,2,650.0,650.0,647.5,3.5355339059327378,0.10466544999508187,0.10466544999508187,7.0,50.0,0.38461538461538464,0.7692307692307693
chao,p5.3.n.txt,66,3,2,735.0,735.0,722.5,17.67766952966369,0.10114880005130544,0.10114880005130544,16.0,50.0,1.7006802721088436,3.4013605442176873
chao,p5.3.o.txt,66,3,2,820.0,820.0,820.0,0.0,0.12770514999283478,0.12770514999283478,8.0,100.0,0.0,0.0
chao,p5.3.p.txt,66,3,2,990.0,990.0,965.0,35.35533905932738,0.13621160003822297,0.13621160003822297,11.5,50.0,2.525252525252525,5.05050505050505
chao,p5.3.q.txt,66,3,2,1055.0,1055.0,1045.0,14.142135623730951,0.1451756000169553,0.1451756000169553,16.0,50.0,0.9478672985781991,1.8957345971563981
chao,p5.3.r.txt,66,3,2,1110.0,1110.0,1105.0,7.0710678118654755,0.1277061499422416,0.1277061499422416,4.5,50.0,0.45045045045045046,0.9009009009009009
